v2	V(vbb)	V(vcc)	I(I1)	I(V2)	Ib(Q1)	Ic(Q1)	Ie(Q1)
-4.000000000000000e+00	-6.608585e-01	-4.000000e+00	-1.800000e-05	3.886192e-03	-1.800000e-05	-3.886192e-03	3.904192e-03
-3.990000000000000e+00	-6.608584e-01	-3.990000e+00	-1.800000e-05	3.885710e-03	-1.800000e-05	-3.885710e-03	3.903710e-03
-3.980000000000000e+00	-6.608583e-01	-3.980000e+00	-1.800000e-05	3.885227e-03	-1.800000e-05	-3.885227e-03	3.903227e-03
-3.970000000000001e+00	-6.608582e-01	-3.970000e+00	-1.800000e-05	3.884745e-03	-1.800000e-05	-3.884745e-03	3.902745e-03
-3.960000000000001e+00	-6.608581e-01	-3.960000e+00	-1.800000e-05	3.884263e-03	-1.800000e-05	-3.884263e-03	3.902263e-03
-3.950000000000001e+00	-6.608580e-01	-3.950000e+00	-1.800000e-05	3.883780e-03	-1.800000e-05	-3.883780e-03	3.901780e-03
-3.940000000000001e+00	-6.608579e-01	-3.940000e+00	-1.800000e-05	3.883298e-03	-1.800000e-05	-3.883298e-03	3.901298e-03
-3.930000000000001e+00	-6.608578e-01	-3.930000e+00	-1.800000e-05	3.882816e-03	-1.800000e-05	-3.882816e-03	3.900815e-03
-3.920000000000002e+00	-6.608577e-01	-3.920000e+00	-1.800000e-05	3.882333e-03	-1.800000e-05	-3.882333e-03	3.900333e-03
-3.910000000000002e+00	-6.608576e-01	-3.910000e+00	-1.800000e-05	3.881851e-03	-1.800000e-05	-3.881851e-03	3.899851e-03
-3.900000000000002e+00	-6.608575e-01	-3.900000e+00	-1.800000e-05	3.881369e-03	-1.800000e-05	-3.881369e-03	3.899368e-03
-3.890000000000002e+00	-6.608574e-01	-3.890000e+00	-1.800000e-05	3.880886e-03	-1.800000e-05	-3.880886e-03	3.898886e-03
-3.880000000000003e+00	-6.608573e-01	-3.880000e+00	-1.800000e-05	3.880404e-03	-1.800000e-05	-3.880404e-03	3.898404e-03
-3.870000000000003e+00	-6.608572e-01	-3.870000e+00	-1.800000e-05	3.879922e-03	-1.800000e-05	-3.879922e-03	3.897921e-03
-3.860000000000003e+00	-6.608571e-01	-3.860000e+00	-1.800000e-05	3.879439e-03	-1.800000e-05	-3.879439e-03	3.897439e-03
-3.850000000000003e+00	-6.608570e-01	-3.850000e+00	-1.800000e-05	3.878957e-03	-1.800000e-05	-3.878957e-03	3.896957e-03
-3.840000000000003e+00	-6.608569e-01	-3.840000e+00	-1.800000e-05	3.878474e-03	-1.800000e-05	-3.878474e-03	3.896474e-03
-3.830000000000004e+00	-6.608568e-01	-3.830000e+00	-1.800000e-05	3.877992e-03	-1.800000e-05	-3.877992e-03	3.895992e-03
-3.820000000000004e+00	-6.608567e-01	-3.820000e+00	-1.800000e-05	3.877510e-03	-1.800000e-05	-3.877510e-03	3.895510e-03
-3.810000000000004e+00	-6.608567e-01	-3.810000e+00	-1.800000e-05	3.877027e-03	-1.800000e-05	-3.877027e-03	3.895027e-03
-3.800000000000004e+00	-6.608565e-01	-3.800000e+00	-1.800000e-05	3.876545e-03	-1.800000e-05	-3.876545e-03	3.894545e-03
-3.790000000000004e+00	-6.608564e-01	-3.790000e+00	-1.800000e-05	3.876063e-03	-1.800000e-05	-3.876063e-03	3.894062e-03
-3.780000000000005e+00	-6.608564e-01	-3.780000e+00	-1.800000e-05	3.875580e-03	-1.800000e-05	-3.875580e-03	3.893580e-03
-3.770000000000005e+00	-6.608562e-01	-3.770000e+00	-1.800000e-05	3.875098e-03	-1.800000e-05	-3.875098e-03	3.893098e-03
-3.760000000000005e+00	-6.608561e-01	-3.760000e+00	-1.800000e-05	3.874616e-03	-1.800000e-05	-3.874616e-03	3.892615e-03
-3.750000000000005e+00	-6.608561e-01	-3.750000e+00	-1.800000e-05	3.874133e-03	-1.800000e-05	-3.874133e-03	3.892133e-03
-3.740000000000006e+00	-6.608559e-01	-3.740000e+00	-1.800000e-05	3.873651e-03	-1.800000e-05	-3.873651e-03	3.891651e-03
-3.730000000000006e+00	-6.608559e-01	-3.730000e+00	-1.800000e-05	3.873168e-03	-1.800000e-05	-3.873168e-03	3.891168e-03
-3.720000000000006e+00	-6.608558e-01	-3.720000e+00	-1.800000e-05	3.872686e-03	-1.800000e-05	-3.872686e-03	3.890686e-03
-3.710000000000006e+00	-6.608557e-01	-3.710000e+00	-1.800000e-05	3.872204e-03	-1.800000e-05	-3.872204e-03	3.890204e-03
-3.700000000000006e+00	-6.608556e-01	-3.700000e+00	-1.800000e-05	3.871721e-03	-1.800000e-05	-3.871721e-03	3.889721e-03
-3.690000000000007e+00	-6.608555e-01	-3.690000e+00	-1.800000e-05	3.871239e-03	-1.800000e-05	-3.871239e-03	3.889239e-03
-3.680000000000007e+00	-6.608554e-01	-3.680000e+00	-1.800000e-05	3.870757e-03	-1.800000e-05	-3.870757e-03	3.888757e-03
-3.670000000000007e+00	-6.608553e-01	-3.670000e+00	-1.800000e-05	3.870274e-03	-1.800000e-05	-3.870274e-03	3.888274e-03
-3.660000000000007e+00	-6.608552e-01	-3.660000e+00	-1.800000e-05	3.869792e-03	-1.800000e-05	-3.869792e-03	3.887792e-03
-3.650000000000007e+00	-6.608551e-01	-3.650000e+00	-1.800000e-05	3.869310e-03	-1.800000e-05	-3.869310e-03	3.887309e-03
-3.640000000000008e+00	-6.608550e-01	-3.640000e+00	-1.800000e-05	3.868827e-03	-1.800000e-05	-3.868827e-03	3.886827e-03
-3.630000000000008e+00	-6.608549e-01	-3.630000e+00	-1.800000e-05	3.868345e-03	-1.800000e-05	-3.868345e-03	3.886345e-03
-3.620000000000008e+00	-6.608548e-01	-3.620000e+00	-1.800000e-05	3.867863e-03	-1.800000e-05	-3.867863e-03	3.885862e-03
-3.610000000000008e+00	-6.608547e-01	-3.610000e+00	-1.800000e-05	3.867380e-03	-1.800000e-05	-3.867380e-03	3.885380e-03
-3.600000000000009e+00	-6.608546e-01	-3.600000e+00	-1.800000e-05	3.866898e-03	-1.800000e-05	-3.866898e-03	3.884898e-03
-3.590000000000009e+00	-6.608545e-01	-3.590000e+00	-1.800000e-05	3.866415e-03	-1.800000e-05	-3.866415e-03	3.884415e-03
-3.580000000000009e+00	-6.608544e-01	-3.580000e+00	-1.800000e-05	3.865933e-03	-1.800000e-05	-3.865933e-03	3.883933e-03
-3.570000000000009e+00	-6.608543e-01	-3.570000e+00	-1.800000e-05	3.865451e-03	-1.800000e-05	-3.865451e-03	3.883451e-03
-3.560000000000009e+00	-6.608542e-01	-3.560000e+00	-1.800000e-05	3.864968e-03	-1.800000e-05	-3.864968e-03	3.882968e-03
-3.550000000000010e+00	-6.608541e-01	-3.550000e+00	-1.800000e-05	3.864486e-03	-1.800000e-05	-3.864486e-03	3.882486e-03
