v1	V(vbb)	V(vcc)	I(V1)	I(V2)	Ib(Q1)	Ic(Q1)	Ie(Q1)
-8.000000000000000e-01	-8.000000e-01	-3.000000e+00	1.127511e-03	1.052340e-01	-1.127511e-03	-1.052340e-01	1.063615e-01
-7.990000000000000e-01	-7.990000e-01	-3.000000e+00	1.103671e-03	1.042705e-01	-1.103671e-03	-1.042705e-01	1.053742e-01
-7.980000000000000e-01	-7.980000e-01	-3.000000e+00	1.080222e-03	1.032993e-01	-1.080222e-03	-1.032993e-01	1.043796e-01
-7.970000000000000e-01	-7.970000e-01	-3.000000e+00	1.057163e-03	1.023208e-01	-1.057163e-03	-1.023208e-01	1.033779e-01
-7.960000000000000e-01	-7.960000e-01	-3.000000e+00	1.034490e-03	1.013349e-01	-1.034490e-03	-1.013349e-01	1.023694e-01
-7.950000000000000e-01	-7.950000e-01	-3.000000e+00	1.012198e-03	1.003421e-01	-1.012198e-03	-1.003421e-01	1.013542e-01
-7.940000000000000e-01	-7.940000e-01	-3.000000e+00	9.902851e-04	9.934234e-02	-9.902851e-04	-9.934234e-02	1.003326e-01
-7.930000000000000e-01	-7.930000e-01	-3.000000e+00	9.687461e-04	9.833598e-02	-9.687461e-04	-9.833598e-02	9.930473e-02
-7.920000000000000e-01	-7.920000e-01	-3.000000e+00	9.475778e-04	9.732322e-02	-9.475778e-04	-9.732322e-02	9.827080e-02
-7.910000000000000e-01	-7.910000e-01	-3.000000e+00	9.267760e-04	9.630426e-02	-9.267760e-04	-9.630426e-02	9.723104e-02
-7.900000000000000e-01	-7.900000e-01	-3.000000e+00	9.063371e-04	9.527934e-02	-9.063371e-04	-9.527934e-02	9.618568e-02
-7.890000000000000e-01	-7.890000e-01	-3.000000e+00	8.862569e-04	9.424871e-02	-8.862569e-04	-9.424871e-02	9.513497e-02
-7.880000000000000e-01	-7.880000e-01	-3.000000e+00	8.665314e-04	9.321260e-02	-8.665314e-04	-9.321260e-02	9.407913e-02
-7.870000000000000e-01	-7.870000e-01	-3.000000e+00	8.471566e-04	9.217126e-02	-8.471566e-04	-9.217126e-02	9.301841e-02
-7.860000000000000e-01	-7.860000e-01	-3.000000e+00	8.281283e-04	9.112495e-02	-8.281283e-04	-9.112495e-02	9.195308e-02
-7.850000000000000e-01	-7.850000e-01	-3.000000e+00	8.094425e-04	9.007394e-02	-8.094425e-04	-9.007394e-02	9.088338e-02
-7.840000000000000e-01	-7.840000e-01	-3.000000e+00	7.910951e-04	8.901849e-02	-7.910951e-04	-8.901849e-02	8.980958e-02
-7.830000000000000e-01	-7.830000e-01	-3.000000e+00	7.730818e-04	8.795887e-02	-7.730818e-04	-8.795887e-02	8.873195e-02
-7.820000000000000e-01	-7.820000e-01	-3.000000e+00	7.553984e-04	8.689538e-02	-7.553984e-04	-8.689538e-02	8.765078e-02
-7.810000000000000e-01	-7.810000e-01	-3.000000e+00	7.380409e-04	8.582827e-02	-7.380409e-04	-8.582827e-02	8.656632e-02
-7.800000000000000e-01	-7.800000e-01	-3.000000e+00	7.210050e-04	8.475787e-02	-7.210050e-04	-8.475787e-02	8.547887e-02
-7.790000000000000e-01	-7.790000e-01	-3.000000e+00	7.042864e-04	8.368445e-02	-7.042864e-04	-8.368445e-02	8.438873e-02
-7.780000000000000e-01	-7.780000e-01	-3.000000e+00	6.878811e-04	8.260831e-02	-6.878811e-04	-8.260831e-02	8.329619e-02
-7.770000000000000e-01	-7.770000e-01	-3.000000e+00	6.717848e-04	8.152976e-02	-6.717848e-04	-8.152976e-02	8.220154e-02
-7.760000000000000e-01	-7.760000e-01	-3.000000e+00	6.559933e-04	8.044910e-02	-6.559933e-04	-8.044910e-02	8.110509e-02
-7.750000000000000e-01	-7.750000e-01	-3.000000e+00	6.405024e-04	7.936665e-02	-6.405024e-04	-7.936665e-02	8.000715e-02
-7.740000000000000e-01	-7.740000e-01	-3.000000e+00	6.253081e-04	7.828271e-02	-6.253081e-04	-7.828271e-02	7.890802e-02
-7.730000000000000e-01	-7.730000e-01	-3.000000e+00	6.104060e-04	7.719761e-02	-6.104060e-04	-7.719761e-02	7.780802e-02
-7.720000000000000e-01	-7.720000e-01	-3.000000e+00	5.957920e-04	7.611167e-02	-5.957920e-04	-7.611167e-02	7.670747e-02
-7.710000000000000e-01	-7.710000e-01	-3.000000e+00	5.814622e-04	7.502522e-02	-5.814622e-04	-7.502522e-02	7.560668e-02
-7.700000000000000e-01	-7.700000e-01	-3.000000e+00	5.674122e-04	7.393857e-02	-5.674122e-04	-7.393857e-02	7.450598e-02
-7.690000000000000e-01	-7.690000e-01	-3.000000e+00	5.536382e-04	7.285205e-02	-5.536382e-04	-7.285205e-02	7.340569e-02
-7.680000000000000e-01	-7.680000e-01	-3.000000e+00	5.401360e-04	7.176600e-02	-5.401360e-04	-7.176600e-02	7.230614e-02
-7.670000000000000e-01	-7.670000e-01	-3.000000e+00	5.269016e-04	7.068076e-02	-5.269016e-04	-7.068076e-02	7.120766e-02
-7.660000000000000e-01	-7.660000e-01	-3.000000e+00	5.139310e-04	6.959664e-02	-5.139310e-04	-6.959664e-02	7.011057e-02
-7.650000000000000e-01	-7.650000e-01	-3.000000e+00	5.012203e-04	6.851399e-02	-5.012203e-04	-6.851399e-02	6.901521e-02
-7.640000000000000e-01	-7.640000e-01	-3.000000e+00	4.887655e-04	6.743314e-02	-4.887655e-04	-6.743314e-02	6.792191e-02
-7.630000000000000e-01	-7.630000e-01	-3.000000e+00	4.765628e-04	6.635443e-02	-4.765628e-04	-6.635443e-02	6.683099e-02
-7.620000000000000e-01	-7.620000e-01	-3.000000e+00	4.646083e-04	6.527819e-02	-4.646083e-04	-6.527819e-02	6.574281e-02
-7.610000000000000e-01	-7.610000e-01	-3.000000e+00	4.528981e-04	6.420477e-02	-4.528981e-04	-6.420477e-02	6.465767e-02
-7.600000000000000e-01	-7.600000e-01	-3.000000e+00	4.414285e-04	6.313449e-02	-4.414285e-04	-6.313449e-02	6.357592e-02
-7.590000000000000e-01	-7.590000e-01	-3.000000e+00	4.301958e-04	6.206769e-02	-4.301958e-04	-6.206769e-02	6.249789e-02
-7.580000000000000e-01	-7.580000e-01	-3.000000e+00	4.191961e-04	6.100471e-02	-4.191961e-04	-6.100471e-02	6.142390e-02
-7.570000000000000e-01	-7.570000e-01	-3.000000e+00	4.084260e-04	5.994587e-02	-4.084260e-04	-5.994587e-02	6.035429e-02
-7.560000000000000e-01	-7.560000e-01	-3.000000e+00	3.978818e-04	5.889151e-02	-3.978818e-04	-5.889151e-02	5.928938e-02
-7.550000000000000e-01	-7.550000e-01	-3.000000e+00	3.875598e-04	5.784195e-02	-3.875598e-04	-5.784195e-02	5.822951e-02
-7.540000000000000e-01	-7.540000e-01	-3.000000e+00	3.774565e-04	5.679753e-02	-3.774565e-04	-5.679753e-02	5.717498e-02
-7.530000000000000e-01	-7.530000e-01	-3.000000e+00	3.675685e-04	5.575856e-02	-3.675685e-04	-5.575856e-02	5.612613e-02
-7.520000000000000e-01	-7.520000e-01	-3.000000e+00	3.578922e-04	5.472537e-02	-3.578922e-04	-5.472537e-02	5.508326e-02
-7.510000000000000e-01	-7.510000e-01	-3.000000e+00	3.484243e-04	5.369828e-02	-3.484243e-04	-5.369828e-02	5.404670e-02
-7.500000000000000e-01	-7.500000e-01	-3.000000e+00	3.391614e-04	5.267759e-02	-3.391614e-04	-5.267759e-02	5.301675e-02
-7.490000000000000e-01	-7.490000e-01	-3.000000e+00	3.301001e-04	5.166362e-02	-3.301001e-04	-5.166362e-02	5.199372e-02
-7.480000000000000e-01	-7.480000e-01	-3.000000e+00	3.212372e-04	5.065667e-02	-3.212372e-04	-5.065667e-02	5.097790e-02
-7.470000000000000e-01	-7.470000e-01	-3.000000e+00	3.125694e-04	4.965704e-02	-3.125694e-04	-4.965704e-02	4.996961e-02
-7.460000000000000e-01	-7.460000e-01	-3.000000e+00	3.040935e-04	4.866504e-02	-3.040935e-04	-4.866504e-02	4.896913e-02
-7.450000000000000e-01	-7.450000e-01	-3.000000e+00	2.958063e-04	4.768094e-02	-2.958063e-04	-4.768094e-02	4.797674e-02
-7.440000000000000e-01	-7.440000e-01	-3.000000e+00	2.877046e-04	4.670503e-02	-2.877046e-04	-4.670503e-02	4.699273e-02
-7.430000000000000e-01	-7.430000e-01	-3.000000e+00	2.797855e-04	4.573759e-02	-2.797855e-04	-4.573759e-02	4.601738e-02
-7.420000000000000e-01	-7.420000e-01	-3.000000e+00	2.720459e-04	4.477890e-02	-2.720459e-04	-4.477890e-02	4.505095e-02
-7.410000000000000e-01	-7.410000e-01	-3.000000e+00	2.644826e-04	4.382921e-02	-2.644826e-04	-4.382921e-02	4.409369e-02
-7.400000000000000e-01	-7.400000e-01	-3.000000e+00	2.570928e-04	4.288879e-02	-2.570928e-04	-4.288879e-02	4.314588e-02
-7.390000000000000e-01	-7.390000e-01	-3.000000e+00	2.498736e-04	4.195788e-02	-2.498736e-04	-4.195788e-02	4.220776e-02
-7.380000000000000e-01	-7.380000e-01	-3.000000e+00	2.428219e-04	4.103673e-02	-2.428219e-04	-4.103673e-02	4.127955e-02
-7.370000000000000e-01	-7.370000e-01	-3.000000e+00	2.359350e-04	4.012557e-02	-2.359350e-04	-4.012557e-02	4.036151e-02
-7.360000000000000e-01	-7.360000e-01	-3.000000e+00	2.292100e-04	3.922464e-02	-2.292100e-04	-3.922464e-02	3.945385e-02
-7.350000000000000e-01	-7.350000e-01	-3.000000e+00	2.226441e-04	3.833414e-02	-2.226441e-04	-3.833414e-02	3.855678e-02
-7.340000000000000e-01	-7.340000e-01	-3.000000e+00	2.162345e-04	3.745428e-02	-2.162345e-04	-3.745428e-02	3.767052e-02
-7.330000000000000e-01	-7.330000e-01	-3.000000e+00	2.099786e-04	3.658528e-02	-2.099786e-04	-3.658528e-02	3.679526e-02
-7.320000000000000e-01	-7.320000e-01	-3.000000e+00	2.038735e-04	3.572731e-02	-2.038735e-04	-3.572731e-02	3.593118e-02
-7.310000000000000e-01	-7.310000e-01	-3.000000e+00	1.979167e-04	3.488056e-02	-1.979167e-04	-3.488056e-02	3.507847e-02
-7.300000000000000e-01	-7.300000e-01	-3.000000e+00	1.921055e-04	3.404520e-02	-1.921055e-04	-3.404520e-02	3.423730e-02
-7.290000000000000e-01	-7.290000e-01	-3.000000e+00	1.864372e-04	3.322139e-02	-1.864372e-04	-3.322139e-02	3.340782e-02
-7.280000000000000e-01	-7.280000e-01	-3.000000e+00	1.809094e-04	3.240928e-02	-1.809094e-04	-3.240928e-02	3.259019e-02
-7.270000000000000e-01	-7.270000e-01	-3.000000e+00	1.755194e-04	3.160901e-02	-1.755194e-04	-3.160901e-02	3.178453e-02
-7.260000000000000e-01	-7.260000e-01	-3.000000e+00	1.702648e-04	3.082072e-02	-1.702648e-04	-3.082072e-02	3.099098e-02
-7.250000000000000e-01	-7.250000e-01	-3.000000e+00	1.651429e-04	3.004452e-02	-1.651429e-04	-3.004452e-02	3.020966e-02
-7.240000000000000e-01	-7.240000e-01	-3.000000e+00	1.601515e-04	2.928052e-02	-1.601515e-04	-2.928052e-02	2.944067e-02
-7.230000000000000e-01	-7.230000e-01	-3.000000e+00	1.552879e-04	2.852882e-02	-1.552879e-04	-2.852882e-02	2.868410e-02
-7.220000000000000e-01	-7.220000e-01	-3.000000e+00	1.505498e-04	2.778950e-02	-1.505498e-04	-2.778950e-02	2.794005e-02
-7.210000000000000e-01	-7.210000e-01	-3.000000e+00	1.459348e-04	2.706265e-02	-1.459348e-04	-2.706265e-02	2.720859e-02
-7.200000000000000e-01	-7.200000e-01	-3.000000e+00	1.414406e-04	2.634833e-02	-1.414406e-04	-2.634833e-02	2.648977e-02
-7.190000000000000e-01	-7.190000e-01	-3.000000e+00	1.370647e-04	2.564658e-02	-1.370647e-04	-2.564658e-02	2.578365e-02
-7.180000000000000e-01	-7.180000e-01	-3.000000e+00	1.328049e-04	2.495747e-02	-1.328049e-04	-2.495747e-02	2.509027e-02
-7.170000000000000e-01	-7.170000e-01	-3.000000e+00	1.286589e-04	2.428101e-02	-1.286589e-04	-2.428101e-02	2.440966e-02
-7.160000000000000e-01	-7.160000e-01	-3.000000e+00	1.246243e-04	2.361722e-02	-1.246243e-04	-2.361722e-02	2.374185e-02
-7.150000000000000e-01	-7.150000e-01	-3.000000e+00	1.206990e-04	2.296613e-02	-1.206990e-04	-2.296613e-02	2.308683e-02
-7.140000000000000e-01	-7.140000e-01	-3.000000e+00	1.168807e-04	2.232773e-02	-1.168807e-04	-2.232773e-02	2.244461e-02
-7.130000000000000e-01	-7.130000e-01	-3.000000e+00	1.131672e-04	2.170201e-02	-1.131672e-04	-2.170201e-02	2.181518e-02
-7.120000000000000e-01	-7.120000e-01	-3.000000e+00	1.095563e-04	2.108894e-02	-1.095563e-04	-2.108894e-02	2.119850e-02
-7.110000000000000e-01	-7.110000e-01	-3.000000e+00	1.060460e-04	2.048851e-02	-1.060460e-04	-2.048851e-02	2.059455e-02
-7.100000000000000e-01	-7.100000e-01	-3.000000e+00	1.026339e-04	1.990066e-02	-1.026339e-04	-1.990066e-02	2.000329e-02
